date1,state,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
26/05/2020,Tamil Nadu,17082,8233,8731,118,25315
27/05/2020,Tamil Nadu,17728,8259,9342,127,25987
28/05/2020,Tamil Nadu,18545,8503,9909,133,27048
29/05/2020,Tamil Nadu,19372,8679,10548,145,28051
30/05/2020,Tamil Nadu,20246,8779,11313,154,29025
31/05/2020,Tamil Nadu,21184,9024,12000,160,30208
01/06/2020,Tamil Nadu,22333,9403,12757,173,31736
02/06/2020,Tamil Nadu,23495,10141,13170,184,33636
03/06/2020,Tamil Nadu,24586,10683,13706,197,35269
04/06/2020,Tamil Nadu,25872,11348,14316,208,37220
05/06/2020,Tamil Nadu,27256,12134,14902,220,39390
06/06/2020,Tamil Nadu,28694,12700,15762,232,41394
07/06/2020,Tamil Nadu,30152,13506,16395,251,43658
08/06/2020,Tamil Nadu,31667,14399,16999,269,46066
09/06/2020,Tamil Nadu,33229,15416,17527,286,48645
10/06/2020,Tamil Nadu,34914,16282,18325,307,51196
11/06/2020,Tamil Nadu,36841,17182,19333,326,54023
12/06/2020,Tamil Nadu,38716,17662,20705,349,56378
13/06/2020,Tamil Nadu,40698,18284,22047,367,58982
14/06/2020,Tamil Nadu,42687,18881,23409,397,61568
15/06/2020,Tamil Nadu,44661,19679,24547,435,64340
16/06/2020,Tamil Nadu,46504,20681,25344,479,67185
17/06/2020,Tamil Nadu,48019,20709,26782,528,68728
18/06/2020,Tamil Nadu,50193,21993,27624,576,72186
19/06/2020,Tamil Nadu,52334,23068,28641,625,75402
20/06/2020,Tamil Nadu,54449,23512,30271,666,77961
21/06/2020,Tamil Nadu,56845,24825,31316,704,81670
22/06/2020,Tamil Nadu,59377,25866,32754,757,85243
23/06/2020,Tamil Nadu,62087,27181,34112,794,89268
24/06/2020,Tamil Nadu,64603,28431,35339,833,93034
25/06/2020,Tamil Nadu,67468,28839,37763,866,96307
26/06/2020,Tamil Nadu,70977,30067,39999,911,101044
27/06/2020,Tamil Nadu,74622,32308,41357,957,106930
28/06/2020,Tamil Nadu,78335,33216,44094,1025,111551
29/06/2020,Tamil Nadu,82275,35659,45537,1079,117934
30/06/2020,Tamil Nadu,86224,37334,47749,1141,123558
24/03/2020,Telangana,32,31,1,0,63
25/03/2020,Telangana,35,34,1,0,69
26/03/2020,Telangana,41,40,1,0,81
27/03/2020,Telangana,45,44,1,0,89
28/03/2020,Telangana,56,55,1,0,111
29/03/2020,Telangana,66,64,1,1,130
30/03/2020,Telangana,69,67,1,1,136
31/03/2020,Telangana,79,77,1,1,156
01/04/2020,Telangana,94,90,1,3,184
02/04/2020,Telangana,96,92,1,3,188
03/04/2020,Telangana,107,103,1,3,210
04/04/2020,Telangana,158,150,1,7,308
05/04/2020,Telangana,269,230,32,7,499
06/04/2020,Telangana,321,280,34,7,601
07/04/2020,Telangana,321,280,34,7,601
08/04/2020,Telangana,364,322,35,7,686
09/04/2020,Telangana,427,385,35,7,812
10/04/2020,Telangana,442,400,35,7,842
11/04/2020,Telangana,473,423,43,7,896
12/04/2020,Telangana,504,452,43,9,956
13/04/2020,Telangana,504,452,43,9,956
14/04/2020,Telangana,562,446,100,16,1008
15/04/2020,Telangana,624,507,100,17,1131
16/04/2020,Telangana,647,509,120,18,1156
17/04/2020,Telangana,700,496,186,18,1196
18/04/2020,Telangana,766,562,186,18,1328
19/04/2020,Telangana,809,605,186,18,1414
20/04/2020,Telangana,844,640,186,18,1484
21/04/2020,Telangana,873,660,190,23,1533
22/04/2020,Telangana,928,711,194,23,1639
23/04/2020,Telangana,945,728,194,23,1673
24/04/2020,Telangana,960,739,197,24,1699
25/04/2020,Telangana,984,705,253,26,1689
26/04/2020,Telangana,991,685,280,26,1676
27/04/2020,Telangana,1002,696,280,26,1698
28/04/2020,Telangana,1004,657,321,26,1661
29/04/2020,Telangana,1004,657,321,26,1661
30/04/2020,Telangana,1012,619,367,26,1631
01/05/2020,Telangana,1038,615,397,26,1653
02/05/2020,Telangana,1039,572,441,26,1611
03/05/2020,Telangana,1063,577,458,28,1640
04/05/2020,Telangana,1082,563,490,29,1645
05/05/2020,Telangana,1085,471,585,29,1556
06/05/2020,Telangana,1096,482,585,29,1578
07/05/2020,Telangana,1107,450,628,29,1557
08/05/2020,Telangana,1123,444,650,29,1567
09/05/2020,Telangana,1133,404,700,29,1537
10/05/2020,Telangana,1163,383,750,30,1546
11/05/2020,Telangana,1196,416,750,30,1612
12/05/2020,Telangana,1275,445,800,30,1720
13/05/2020,Telangana,1326,464,830,32,1790
14/05/2020,Telangana,1367,393,940,34,1760
15/05/2020,Telangana,1414,430,950,34,1844
16/05/2020,Telangana,1454,461,959,34,1915
17/05/2020,Telangana,1509,504,971,34,2013
18/05/2020,Telangana,1551,525,992,34,2076
